categories,descriptions,names
"['16', '2', '8']","מבוסס על המשחק המוכר. העלילה מתרחשת באי המאוכלס כולו בידי ציפורים מאושרות וחסרות מעוף. בגן העדן הזה רד, ציפור עם מזג חם ופתיל קצר, ספידי צ'אק, והפצצה המתנדפת תמיד היו אאוטסיידרים. אבל כשחזירים ירוקים מסתוריים מגיעים לאי, הכל תלוי בחבורת בעלי הכנף המנודה ל ...  המשך ...",אנגרי בירדס הסרט (מדובב)
"['16', '2', '8']","מבוסס על המשחק המוכר. העלילה מתרחשת באי המאוכלס כולו בידי ציפורים מאושרות וחסרות מעוף. בגן העדן הזה רד, ציפור עם מזג חם ופתיל קצר, ספידי צ'אק, והפצצה המתנדפת תמיד היו אאוטסיידרים. אבל כשחזירים ירוקים מסתוריים מגיעים לאי, הכל תלוי בחבורת בעלי הכנף המנודה ל ...  המשך ...",אנגרי בירדס: הסרט (מדובב
"['16', '2', '8']","מבוסס על המשחק המוכר. העלילה מתרחשת באי המאוכלס כולו בידי ציפורים מאושרות וחסרות מעוף. בגן העדן הזה רד, ציפור עם מזג חם ופתיל קצר, ספידי צ'אק, והפצצה המתנדפת תמיד היו אאוטסיידרים. אבל כשחזירים ירוקים מסתוריים מגיעים לאי, הכל תלוי בחבורת בעלי הכנף המנודה ל ...  המשך ...",אנגרי בירדס הסרט (4DX)
"['16', '2', '8']","מבוסס על המשחק המוכר. העלילה מתרחשת באי המאוכלס כולו בידי ציפורים מאושרות וחסרות מעוף. בגן העדן הזה רד, ציפור עם מזג חם ופתיל קצר, ספידי צ'אק, והפצצה המתנדפת תמיד היו אאוטסיידרים. אבל כשחזירים ירוקים מסתוריים מגיעים לאי, הכל תלוי בחבורת בעלי הכנף המנודה ל ...  המשך ...",אנגרי בירדס הסרט (מדובב
"['7', '3']","אפוקליפס, המוטנט הראשון והחזק ביותר ביקום של אקסמן, צבר את כוחותיהם של מוטנטים רבים אחרים והפך לאלמותי ובלתי מנוצח. הוא מתעורר אחרי אלפי שנים ומגייס צוות של מוטנטים חזקים, ביניהם מגנטו המיואש, כדי לטהר את האנושות וליצור סדר עולמי חדש שעליו הוא יוכל לשלוט. ...  המשך ...",אקס-מן: אפוקליפסה (תלת מימד)
['1'],"משפחה חוזרת מטיול בגרנד קניון ומביאה עימם ישות עתיקה שהם זימנו בלא יודעין, מה שמוביל לקרב על הישרדותם.",החשיכה
"['8', '4', '9']","לאחר שהשתתפה בסמינר להעצמה עצמית, דוריס, אישה בשנות ה-60 לחייה, מחליטה לחזר אחר עמית לעבודה הצעיר ממנה בשנים רבות. עם מעט עזרה מנכדתה של חברתה הטובה היא רוקחת מזימות כדי לזכות בתשומת ליבו. דוריס מופיעה בכל מקומות הבילוי של ג'ון, מתחברת אליו ואל חבריו הצעי ...  המשך ...","שלום, קוראים לי דוריס"
"['4', '3', '9']","באוטופיה המתבססת על עולם ללא רגשות בחור ובחורה מתאהבים. ""המחלה המסתורית"" שמאפשרת את המשיכה ההדדית מעמידה אותם בסכנה וגוררת אחריה תגובות חמורות מהאנשים שמסביבם",שווים
"['7', '3']","אפוקליפס, המוטנט הראשון והחזק ביותר ביקום של אקסמן, צבר את כוחותיהם של מוטנטים רבים אחרים והפך לאלמותי ובלתי מנוצח. הוא מתעורר אחרי אלפי שנים ומגייס צוות של מוטנטים חזקים, ביניהם מגנטו המיואש, כדי לטהר את האנושות וליצור סדר עולמי חדש שעליו הוא יוכל לשלוט. ...  המשך ...",X-מן: אפוקליפסה (תלת מימד
"['4', '14', '13']","לאחר שנכשל בניסיון להתקבל לתזמורת הפילהרמונית המפורסמת של סאו פאולו, נאלץ לארטה, כנר מוכשר, להעביר שיעורי כינור לנוער בבית ספר באחת השכונות הקשות והמסוכנות ביותר בברזיל. מול בני נוער בעייתיים, דרכו מלאה במכשולים אבל בעזרת התמדה, כוח רצון והמוזיקה, ינסה לא ...  המשך ...",המורה לכינור
"['8', '11']","אודי מקדיש את חייו להתעמקות בעולם סרטי ""שר הטבעות"". יום אחד הוא מתבשר על ידי אחיו שסבתם האהובה נפטרה. הסבתא הורישה חמישה מיליון דולר וטבעת פלאית בעלת כוחות חישמול. אם אודי יתחתן תוך חודש בעזרת הטבעת הוא ואחיו ליאור יירשו את הכסף. אודי יוצא למסע למציאת כלה ...  המשך ...",מסע הטבעת
"['4', '6']",סיפורו של חייל ביום האחרון לפני שהוא וחבריו ליחידה חוזרים לשירות בעיראק,"מצדיעים לך, בילי לין"
"['8', '4']","בסטר ואנני פאנג, אח ואחות, נאלצים לחזור לבית הוריהם, אמנים אקסצנטרים קשישים, לאחר שהם מתבשרים על ידי המשטרה שנמצאה מכוניתם בצדי הדרך כשבתוכה סימני אלימות. ההודעה המלחיצה הזו גורמת לאח והאחות להרהר מחדש בילדותם המוזרה, ולתהות האם הוריהם באמת בסכנה או שזוהי ...  המשך ...",משפחת פאנג
"['15', '2', '16']","סרט המשך ללהיט ""אליס בארץ הפלאות"" משנת 2010. אליס קינגסלי בילתה את השנים האחרונות בעקבותיו של אביה והפליגה בים הפתוח. עם חזרתה ללונדון, היא נתקלת במראה קסומה וחוזרת לממלכה הפנטסטית של ארץ הפלאות עם חבריה הארנב הלבן, הזחל הכחול, חתול הצ'שייר והכובען המטורף ...  המשך ...",אליס מבעד למראה (מדובב)
"['15', '2', '16']","סרט המשך ללהיט ""אליס בארץ הפלאות"" משנת 2010. אליס קינגסלי בילתה את השנים האחרונות בעקבותיו של אביה והפליגה בים הפתוח. עם חזרתה ללונדון, היא נתקלת במראה קסומה וחוזרת לממלכה הפנטסטית של ארץ הפלאות עם חבריה הארנב הלבן, הזחל הכחול, חתול הצ'שייר והכובען המטורף ...  המשך ...",אליס מבעד למראה (תלת מימד)
"['15', '2', '16']","סרט המשך ללהיט ""אליס בארץ הפלאות"" משנת 2010. אליס קינגסלי בילתה את השנים האחרונות בעקבותיו של אביה והפליגה בים הפתוח. עם חזרתה ללונדון, היא נתקלת במראה קסומה וחוזרת לממלכה הפנטסטית של ארץ הפלאות עם חבריה הארנב הלבן, הזחל הכחול, חתול הצ'שייר והכובען המטורף ...  המשך ...",אליס מבעד למראה (תלת מימד
"['15', '2', '16']","סרט המשך ללהיט ""אליס בארץ הפלאות"" משנת 2010. אליס קינגסלי בילתה את השנים האחרונות בעקבותיו של אביה והפליגה בים הפתוח. עם חזרתה ללונדון, היא נתקלת במראה קסומה וחוזרת לממלכה הפנטסטית של ארץ הפלאות עם חבריה הארנב הלבן, הזחל הכחול, חתול הצ'שייר והכובען המטורף ...  המשך ...",אליס מבעד למראה (תלת מימד
"['4', '13']","קוסטי מנהל חיים שלווים עם אשתו ובנו הקטן. הוא נוהג לקרוא לבנו סיפורים לפני השינה ומזהה בעצמו הרבה מהתכונות שמאפיינות את הגיבורים - הקרבה, רדיפת צדק ואומץ יוצא דופן. יום אחד השכן שלו מגיע לדלתו ומספר לו על אוצר עתיק שלטענתו טמון מאות שנים בחצר של סבו. למרו ...  המשך ...",האוצר
"['4', '13']","ארמנדו הוא גבר אמיד, שבעזרת כספו מפתה בחורים צעירים לביתו. הוא לא רוצה לגעת, רק לצפות בהם ממרחק כשהם מתפשטים. המפגש הראשון של ארמנדו עם נער רחוב אלים בשם אלדר מסתיים בתקיפה, אבל זה לא מרתיע את הגבר המתבודד מלהישבות בקסמו של אותו נער נאה ופראי. אלדר, שמבין ...  המשך ...",מרחוק
['7'],"זאנדר קייג', אתלט ספורט אקסטרים שהפך לסוכן חשאי , נחשב לאורך תקופה ארוכה כמת לאחר שנורה בתקרית. הוא חוזר בחשאי למשימה חדשה ומסוכנת  במטרה למנוע מהפושע ולוחם העל, סיאנג, לשחזר כלי נשק רצחני המכונה תיבת פנדורה. בזמן שזאנדר מגייס צוות חדש שיסייע לו במשימה, ה ...  המשך ...",XXX: הילוך גבוה
['8'],"עיבוד לסדרת הטלוויזיה המצליחה מהניינטיז. הסרט עוקב אחר צוות המצילים הכי פוטוגניים בחוף המערבי, בראשם מיץ' ביוקנן. אל צוות ההצלה הוותיק מצטרף בעל כורחו, מאט ברודי, שחיין אולימפי מפורסם. מיץ' אינו מוכן לקבל אותו לצוות ההצלה עד אשר יעבור את מבחני הקבלה הנערכ ...  המשך ...",משמר המפרץ
"['4', '9']","לאחר הפרידה מכריסטיאן, מנסה אנסטסיה להתאושש ולהמשיך הלאה בחייה. כשכריסטיאן מנסה לפתות אותה לחזור אליו, היא מתקשה לסרב אך דורשת הסדר חדש לקשר ביניהם.  בשעה שכריסטיאן נאבק עם שלדים מעברו המאיימים לפרק את הזוגיות, אנסטסיה נאלצת להתמודד עם הכעס והקנאה של מאהב ...  המשך ...",חמישים גוונים של אופל
"['15', '7']","גרסה חדשה לסיפור אבירי השולחן העגול של המלך ארתור. לאחר שאביו של ארתור נרצח בילדותו, דודו תופס את מקומו על כס המלכות ושולט בממלכה, אך הנבואה מספרת שיום אחד המלך האמיתי יחזור ויוציא  את החרב האגדית אקסקליבר מהסלע. ארתור, בורח  וגדל בסמטאות העיר מבלי לדעת   ...  המשך ...",קינג ארתור
['7'],"וי דמרקו היא תלמידת תיכון חרוצה אשר נמאס לה לראות את החיים מהצד. כשהיא מקבלת פניה ממשחק רשת ששואל אותה האם היא צופה או משחקת, היא מחליטה להשתתף ולשחק בחובה אחת בלבד. עד מהרה היא מוצאת את עצמה בתוך תחרות מלאת אדרנלין, עד אשר המשחק מקבל תפנית מרושעת המובילה ...  המשך ...",משחקי חובה
"['4', '17']","סיפורה של גרטרוד בל, חלוצה שפעלה כחוקרת, סופרת וחברה בשירות הביון הבריטי. כאישה משכילה וצעירה באנגליה של המאה ה-19, בל לא מצליחה למצוא שידוך שראוי להשכלתה ומעמדה. היא נוסעת לטהרן ופוצחת ברומן טרגי עם דיפלומט בריטי עם התמכרות להימורים. כישלון מערכת היחסים  ...  המשך ...",מלכת המדבר
"['15', '3', '7']","מבוסס על סדרת משחקי המחשב ""וורקראפט"" המתרחשת בעולם הפנטזיה אזרות'.הסרט מתאר את סיפור המוצא של המפגשים הראשוניים בין בני האדם והאורקים, עם שימת דגש על הסכסוכים הרבים שלהם.",וורקראפט: ההתחלה (תלת מימד)
"['2', '14', '11']","חבורת ילדים יוצאת בעקבות מפת אוצר למחנה קיץ, כדי להציל את הספרייה האהובה עליהם שעומדת להיהרס. את האוצר מנסה להשיג גם פקיד העירייה ברונו, שמעדיף לשטח את הספרייה ולהקים על חורבותיה חניון. בדרכה תעבור החבורה הרפתקאות שידרשו מהם לגלות תושייה, אומץ לב, ודמיון, ...  המשך ...",האוצר מעבר לנהר
"['1', '11']","שרה, סטודנטית אמריקאית, מגיעה לטיול בעיר העתיקה בירושלים יחד עם חבריה קווין ורייצ'ל. בערב יום כיפור דברים מתחילים להשתבש: קברים נמצאים פתוחים, דמויות מסתוריות פושטות על הסמטאות ואנשים נרצחים ברחבי העיר. הצבא מטיל עוצר על העיר העתיקה והחבורה מוצאת את עצמה  ...  המשך ...",ג'רוזלם
"['15', '3', '7']","מבוסס על סדרת משחקי המחשב ""וורקראפט"" המתרחשת בעולם הפנטזיה אזרות'.הממלכה השלווה של אזרות' עומדת בפני פלישה המונית על ידי גזע של לוחמים ענקיים וחסרי פחד מעולם אחר, שמעמיד בסכנה את תושבי הממלכה ואת הציווילזציה בעולם כולו. הפולשים הם האורקים אשר בזזו את משאב ...  המשך ...",וורקראפט: ההתחלה (תלת מימד
"['7', '8']","שנה אחרי שהערימו על ה-FBI וזכו באהדת הציבור עם הקסם הרובין-הודי שלהם, ארבעת הקוסמים חוזרים להופעת קאמבק. האיש שעומד מאחורי החזרה המפתיעה שלהם לבמה הוא וולטר, גאון טכנולוגי, שסוחט את החבורה לבצע עבורו את אחד מהשודים המסובכים ביותר אי פעם.",האשליה 2 (4DX)
"['4', '9']","מבוסס על רומן של ג'יין אוסטין. ליידי סוזן ורנון היא אלמנה צעירה ויפהפייה המבקרת באחוזתם של חמיה על מנת להפריך את השמועות על הרומנים שהיא מנהלת. בזמן ביקורה היא מחליטה למצוא חתן לעצמה ולבתה הסרבנית, פרדריקה, ומושכת את תשומת ליבם של רג'ינלד הצעיר והנאה, סר  ...  המשך ...",אהבה וידידות
['8'],"לאיימי מיטשל יש לכאורה חיים מושלמים – נישואים נהדרים, ילדים מוצלחים, בית יפהפה וקריירה מעוררת קנאה. הבעיה היחידה היא שאיימי לא נחה לרגע. היא מותשת מכל התפקידים שלקחה על עצמה ועומדת על סף התמוטטות עצבים. ביחד עם שתי אמהות אחרות שמאסו בסגנון החיים שלהן, היא ...  המשך ...",אמהות רעות
"['8', '11']","סיפורו של פטר, אלמן בן 66, שחקן תאטרון הבימה, שמעולם לא קיבל את התפקיד הראשי, ומחליט יום אחד בעידוד חבריו ל""פרלמנט הרומני"" בבית הקפה השכונתי לרוץ לכנסת כדי לשפר את הפנסיה של הגימלאים. יחד עם אלונה, מלצרית בת 28 וכותבת בלוגים מוכשרת, מקימים השניים את מפלגת ...  המשך ...",פטר השלישי
"['16', '2']","סרט המשך ל""מוצאים את נמו"". דורי, הדגה החברותית והשכחנית, הולכת לאיבוד וחבריה הטובים באוקיאנוס צריכים להחזיר אותה בחזרה הביתה",מוצאים את דורי (מדובב)
"['16', '2']","סרט המשך ל""מוצאים את נמו"". דורי, הדגה החברותית והשכחנית, הולכת לאיבוד וחבריה הטובים באוקיאנוס צריכים להחזיר אותה בחזרה הביתה",מוצאים את דורי (תלת מימד)
"['4', '8', '11']","עולמה של קהילה ירושלמית שלווה מטלטל בעקבות מפגש מקרי עם רב כריזמטי צעיר. בעוד הגברים נסחפים אחריו, יוצאות נשותיהן למאבק על מקומן ומעמדן בניסיון לאחד מחדש את הקהילה",ישמח חתני
"['4', '9']","הולנד של המאה ה-17, תקופת השיגעון והסחר בפרח הצבעוני. אמן צעיר מתאהב באישה נשואה, כאשר הוא נשכר לצייר פורטרט שלה ע""י בעלה. השניים מחליטים להשקיע בשוק הצבעוניים המסוכן בתקווה לבנות יחד עתיד משותף",קדחת הצבעונים
"['16', '2']","לכלבלב פושוק חיי נוחות מפנקים, מתוקף היותו בנם של שני אסטרונאוטים מפורסמים. יום אחד הוא מגלה, שאביו תקוע על הירח, בזמן שאימו אף היא במשימת חלל מרוחקת. נחוש להציל את אביו ולאחד את משפחתו, מתגנב פושוק לחללית העושה את דרכה למעלה. יחד עם קוף וחייזר מתוק, השלו ...  המשך ...",כלבים בחלל – הרפתקה אל הירח (מדובב)
"['15', '13']","בשנת 1934 מפולת סלעים של 3 מיליון מטר מרובע התמוטטה אל תוך פיורד בנורבגיה ויצרה גל צונאמי ענק. קריסטיאן, גיאולוג מצליח וצוותו הם האחראים שהאסון לא יחזור. בבוקר הכל נראה כרגיל, אבל המכשירים מראים על משהו שקורה עמוק באדמה. השעון המורה על תזוזת הקרקע מפעיל א ...  המשך ...",הגל
"['3', '1']","אישה, אשר תפקידה לפתור בעיות ארגוניות, נשלחת למיקום מרוחק וסודי ביותר על מנת לחקור ולהעריך תאונה מזעזעת: ניסוי על אדם בשם מורגן, בעל יכולות מדהימות אשר באופן פתאומי הפך לאלים. החקירה מנסה להתעמק במחשבות ובפעולות של מורגן ומובילה לבגידות, רצח וגילויים מזעז ...  המשך ...",מורגן
"['8', '7']","הספר השכונתי נעלם. מסתבר שהאחרון שראה אותו הוא ברני תומסון. אבל אף אחד לא חושד בברני תומסון, שעובד במספרה והיה האחרון שראה את הספר לפני שנעלם. באותו הערב בויכוח בין ברני לבוס שלו, נפל זה האחרון על המספריים. ברני שלא רצה שיחשדו בו העביר אותו לתא המטען של מ ...  המשך ...",עסק משפחתי
"['3', '7', '15']",מדינות העולם משתפות פעולה בתכנית הגנה משותפת נגד פלישה חוצנית לכדור הארץ באמצעות טכנולוגיה משוחזרת של חייזרים. אבל שום דבר לא יכול להכין אותם ליכולת הטכנולוגית המשופרת של החייזרים שמתכוננים לתקיפה נוספת. רק מספר אנשים אמיצים יוכלו להציל את העולם מהשמדה,היום השלישי: התחדשות (תלת מימד
"['3', '7', '15']",מדינות העולם משתפות פעולה בתכנית הגנה משותפת נגד פלישה חוצנית לכדור הארץ באמצעות טכנולוגיה משוחזרת של חייזרים. אבל שום דבר לא יכול להכין אותם ליכולת הטכנולוגית המשופרת של החייזרים שמתכוננים לתקיפה נוספת. רק מספר אנשים אמיצים יוכלו להציל את העולם מהשמדה,היום השלישי: התחדשות (תלת מימד
"['3', '7', '15']",מדינות העולם משתפות פעולה בתכנית הגנה משותפת נגד פלישה חוצנית לכדור הארץ באמצעות טכנולוגיה משוחזרת של חייזרים. אבל שום דבר לא יכול להכין אותם ליכולת הטכנולוגית המשופרת של החייזרים שמתכוננים לתקיפה נוספת. רק מספר אנשים אמיצים יוכלו להציל את העולם מהשמדה,היום השלישי: התחדשות (תלת מימד)
"['8', '9', '13']","דרמה-קומית רומנטית עם ז׳אן דוז׳ארדן (זוכה האוסקר על ""הארטיסט"") ווירז׳יני אפירה (""נפלאות החושים"") על איש קטן המתאהב באישה גדולה. דיאן היא עורכת-דין יפה ומבריקה. היא שמה קץ לנישואים לא מאושרים וחופשיה כעת לפגוש את גבר חלומותיה. מאחר ואין דבר כזה יד המקרה, ה ...  המשך ...",להתאהב מעל הראש
"['4', '13']","חזוס בן ה-18 עובד כמעצב פאות במועדון דראג בקובה, אבל החלום שלו הוא להופיע על הבמה כמלכת דראג. דווקא כאשר הקריירה הבימתית שלו מתחילה לתפוס תאוצה, אביו, מתאגרף לשעבר ואלכוהוליסט אלים בהווה משתחרר מהכלא אחרי 15 שנה שבהן ישב על ביצוע רצח. חזוס נאלץ לשכן בדירה ...  המשך ...",ויוה
['8'],"ארבעה חברי ילדות, ה״לוזרים״ של המחזור, עומדים להפוך את הקיץ שלהם לבלתי נשכח. למסיבת הסיום הגדולה אף אחד לא הזמין אותם והם מבינים כי הקיץ הזה הוא ההזדמנות האחרונה שלהם לחוות את כל מה שהפסידו בתיכון.  במהרה מצב העניינים משתנה מהקצה אל הקצה- אנדי הופך להיות  ...  המשך ...",החופשה הראשונה
['4'],"בן הוא אב לשישה שמגדל את ילדיו הרחק מהחברה, ביערות וושינגטון. הוא מלמד אותם לבדו, הם צדים ומכינים את האוכל שלהם בעצמם, קוראים, שרים ומשחקים יחד. מקרה חירום משפחתי מאלץ את השבעה לצאת מגן העדן הפרטי שהם בנו לעצמם ולחזור לציביליזציה. בן מגלה שהעולם האמיתי שב ...  המשך ...",קפטן פנטסטיק
"['7', '4', '17']","במהלך שנות ה-80, סוכן מיוחד של שירות המכס של ארה""ב משתמש בזהות בדויה כדי להסתנן לתוך מערכת הלבנת הכספים של הקרטלים הגדולים בעולם, תוך כדי חשיפת עוקץ הסמים הגדול ביותר בהיסטוריה של ברון הסמים פבלו אסקובר",המסתנן
"['4', '17']","סיפורו של ריי קרוק, המייסד של רשת ""מקדונלד'ס"". קרוק הוא סוכן מכירות כושל אשר פוגש בדרך בשני אחים תמימים, לוקח את המיזם המקומי שלהם למזון מהיר, והופך אותו לרשת המזון הגדולה והמוכרת ביותר בעולם",המייסד
['4'],"ארה""ב, 1951. מרקוס מסנר הוא תלמיד מעולה, בן למשפחה יהודית קשת יום מניוארק שזה עתה סיים את לימודיו בתיכון. בעוד בני כיתתו נשלחים להילחם בקוריאה, מחליט האב, הקצב השכונתי, לשלוח את בנו היחיד לקולג' מרוחק ושמרני באוהיו, בתקווה ששם יהיה מוגן יותר ולא יישלח להי ...  המשך ...",התפכחות
"['15', '2', '3']","ילדה יתומה בשם סופי מתגוררת בבית יתומים באנגליה. לילה אחד סופי מתקשה להירדם ומבעד לחלון החדר רואה יצור ענקי שמסתובב ברחוב. כשמתקרב היצור לחלון בית היתומים סופי מתחבאת מתחת לשמיכה, אך היצור שם לב אליה ולוקח אותה איתו.","העי""ג (מדובב)"
"['15', '2', '3']","ילדה יתומה בשם סופי מתגוררת בבית יתומים באנגליה. לילה אחד סופי מתקשה להירדם ומבעד לחלון החדר רואה יצור ענקי שמסתובב ברחוב. כשמתקרב היצור לחלון בית היתומים סופי מתחבאת מתחת לשמיכה, אך היצור שם לב אליה ולוקח אותה איתו.","העי""ג (תלת מימד)"
"['16', '2']",מה באמת עושות חיות המחמד שלכם כשאתם לא בבית?,החיים הסודיים של חיות המחמד (מדובב)
"['16', '2']",מה באמת עושות חיות המחמד שלכם כשאתם לא בבית?,החיים הסודיים של חיות המחמד (תלת מימד)
"['4', '17', '7']","סיפור חייו של המתאגרף האגדי רוברטו דוראן והמאמן המיתולוגי שלו, ריי ארסל, יהודי מהארלם, שהפך להיות המאמן הראשון שנבחר להיכל התהילה של האגרוף. במרכז הסרט ניצבת היריבות בין דוראן לבין המתאגרף שוגר ריי לנארד",ידי האבן
"['16', '2']",מה באמת עושות חיות המחמד שלכם כשאתם לא בבית?,החיים הסודיים של חיות המחמד (מדובב
"['8', '11']","עודד בלוך רוצה לצאת מגניב בעיני הבוס שלו ומשקר שהוא נוהג לנפוש בחוף סודי בסיני. מוטי הבוס מחליט לגרור אותו ואת טל ודימה חברי ההנהלה שנואי נפשו לחצי האי מוכה הטרור. עודד עושה כל שביכולתו על מנת לחבל בנסיעה, אולם הארבעה מגיעים לסיני והשקר הלבן הופך לסיוט פר ...  המשך ...",ארבע על ארבע
"['15', '7']","עיבוד חדש לעלילותיו של הילד שננטש בג'ונגל האפריקאי וגודל על ידי קופים. הפעם טרזן, שכבר התרגל לחיים כאדם מן השורה בלונדון, נקרא בחזרה לג'ונגל כדי לחקור פעילויות חשודות שמתקיימות במחנה כרייה.",האגדה של טרזן (תלת מימד)
['8'],"במהלך תקופת החגים, נד, אב מגונן ואוהב, מגיע לבקר את הבת שלו בסטנפורד, שם הוא פוגש את הסיוט הגדול ביותר שלו: החבר ההיי-טקיסט המיליארדר והמוזר שלה – לארד. נד, האב המרובע, חושב שהוא כלל אינו מתאים לבתו ונלחץ אף יותר כאשר הוא מוצא את עצמו יותר ויותר בתוך עולם ...  המשך ...",למה דווקא הוא?
"['16', '2']","סם, מכונאי פשוט בפארק השעשועים, מבלה את זמנו בתיקון מתקנים ובחלומות על אהבת ילדותו סו, מגישת חדשות פופולרית. סם חושב שרק עם טבעת יהלומים נוצצת ומופע אור קולי מפואר יוכל להשיג את נערת חלומותיו, הוא מחליט להרשים אותה בזמן מצעד חג האהבה של פארק השעשועים.  אב ...  המשך ...",בלינג בלינג (מדובב)
"['4', '9']","מבוסס על רב המכר של מ.ל. סטדמן. סיפורם של שומר במגדלור ואשתו החיים בחוף מבודד באוסטרליה. לאחר ניסיונות כושלים להביא ילד לעולם שומעת האישה יום אחד קול תינוק בוכה ממרחקים. הם מאתרים את התינוק ליד גופת אדם שנסחפה לחוף עם ספינה טובעת. האישה, שרואה בתינוק ""מתנ ...  המשך ...",אור בין האוקיינוסים
"['15', '7']","עיבוד חדש לעלילותיו של הילד שננטש בג'ונגל האפריקאי וגודל על ידי קופים. הרבה שנים חלפו מאז שהאיש, שהיה מוכר בשם ""טרזן"", עזב את הג'ונגל של אפריקה לטובת חיי ציוויליזציה כשלצידו אשתו האהובה, ג'יין. כעת, הוא הוזמן בחזרה לקונגו לשרת כנציג הסחר של הפרלמנט, בלי ל ...  המשך ...",האגדה של טרזן (תלת מימד
"['1', '7']","שנים לאחר שנמנע מלהרוג את האיש שרצח את בנו, השוטר לשעבר ברנס נהיה ראש האבטחה של הסנאטורית רואן, שסומנה כמטרה להתנקשות בליל הטיהור בשל רצונה לשים סוף למנהג הקטלני השנתי",הטיהור 3
"['4', '11']","מועמד ל-7 פרסי אופיר כולל הסרט הטוב ביותר. בתום השבעה על בנו, אייל אבוד. אין לו עם מי לדבר והאורחים היחידים שנשארו הם זוג גורי חתולים שהתנחלו לו בחצר. אשתו, ויקי, לעומת זאת, מנסה לחזור לשגרה בכל מחיר. היא מאמינה שזו הדרך הטובה ביותר להתמודד עם האבל, ומצפה ...  המשך ...",שבוע ויום
['2'],"מבוסס על ספריה של יוהנה ספירי. היידי היתומה מעבירה את ילדותה ביחד עם סבה האקסצנטרי, מנותקים מהעולם החיצון בבקתה קטנה בהרים בשוויץ. הימים חסרי הדאגות מגיעים לסופם הפתאומי כשהיידי נלקחת לפרנקפורט בידי דודתה כדי שהיא תגור עם משפחתו העשירה של מר ססמן ותוכל לש ...  המשך ...",היידי בת ההרים (מדובב)
"['16', '2']","המרדף של סקראט אחרי הבלוט מושך אותו לתוך יקום שבו הוא יוצר בטעות סדרה של אירועים קוסמיים שמאיימים על עידן הקרח בעולם. כדי להציל את עצמם, סיד, מני, דייגו ויתר החברים חייבים לעזוב את ביתם ולצאת למסע בארצות חדשות ואקזוטיות.",עידן הקרח: מסלול התנגשות (מדובב)
"['16', '2']","המרדף של סקראט אחרי הבלוט מושך אותו לתוך יקום שבו הוא יוצר בטעות סדרה של אירועים קוסמיים שמאיימים על עידן הקרח בעולם. כדי להציל את עצמם, סיד, מני, דייגו ויתר החברים חייבים לעזוב את ביתם ולצאת למסע בארצות חדשות ואקזוטיות.",עידן הקרח: מסלול התנגשות (תלת מימד)
"['16', '2']","המרדף של סקראט אחרי הבלוט מושך אותו לתוך יקום שבו הוא יוצר בטעות סדרה של אירועים קוסמיים שמאיימים על עידן הקרח בעולם. כדי להציל את עצמם, סיד, מני, דייגו ויתר החברים חייבים לעזוב את ביתם ולצאת למסע בארצות חדשות ואקזוטיות.",עידן הקרח: מסלול התנגשות (4D מדובב)
"['16', '2']","המרדף של סקראט אחרי הבלוט מושך אותו לתוך יקום שבו הוא יוצר בטעות סדרה של אירועים קוסמיים שמאיימים על עידן הקרח בעולם. כדי להציל את עצמם, סיד, מני, דייגו ויתר החברים חייבים לעזוב את ביתם ולצאת למסע בארצות חדשות ואקזוטיות.",עידן הקרח: מסלול התנגשות (תלת מימד
"['7', '15', '8']","סרט המשך למעלליהם של הצבים הלוחמים -לאונרדו, רפאל, מיכאלנג'לו ודונטלו, ומורם - מאסטר ספלינטר. גם הפעם יצטרכו הצבים להציל את העיר מאיום חדש יחד עם חברת אפריל אוניל.",צבי הנינג'ה: יוצאים מהצללים (מדובב)
"['8', '3', '7']","עיבוד חדש לסרטי ""מכסחי השדים"". העלילה טרם ידועה",מכסחות השדים (תלת מימד)
"['8', '3', '7']","עיבוד חדש לסרטי ""מכסחי השדים"". העלילה טרם ידועה",מכסחות השדים (תלת מימד
"['8', '3', '7']","עיבוד חדש לסרטי ""מכסחי השדים"". העלילה טרם ידועה",מכסחות השדים (תלת מימד
['7'],ארתור בישופ חשב שעברו כמתנקש מאחוריו אבל כאשר נחטפת חברתו הוא נאלץ לצאת למסע חובק עולם כדי לבצע שלוש התנקשויות ולביים אותן כאילו היו תאונות מקריות,המכונאי 2: התחייה
"['7', '4', '11']","עובדיה רחמים הוא המאבטח הכי חזק שיש במועדון ""שמיים"". הוא ואשתו רחל מנסים כבר חמש שנים להיכנס להריון. במועדון מבלה מדי ערב עבריין שרוצה שעובדיה יעבוד בשבילו כגובה חובות בשוק האפור. עובדיה רואה בהצעה הזדמנות להכניס את אשתו לסדרה של טיפולי פוריות פרטיים ויקר ...  המשך ...",אבינו
"['4', '11']","ג׳לילה, בדואית בת 42, מארחת את חתונתו השנייה של בעלה, לכלה הצעירה ממנה ב-20 שנה. לילה, בתה בת ה-18 מגלה כי הקשר הסודי והאסור שניהלה עם בחור זר, התגלה. השתיים מנסות להתמודד עם המציאות החדשה שנכפתה עליהן. מהר מאוד הן יצטרכו להבין שאם ברצונן לשרוד- יהיו חייב ...  המשך ...",סופת חול
